/* DATA DESCRIPTION:
Citation:	Petit, Jean Robert; Jouzel, Jean (1999): Vostok ice core deuterium data for 420,000 years [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.55505
Related to:	Petit, Jean Robert; Jouzel, Jean; Raynaud, Dominique; Barkov, Nartsiss I; Barnola, Jean-Marc; Basile, Isabelle; Bender, Michael L; Chappellaz, Jérôme A; Davis, John C; Delaygue, Gilles; Delmotte, M; Kotlyakov, Vladimir; Legrand, Michel R; Lipenkov, Vladimir Ya; Lorius, C; Pepin, L; Ritz, Catherine; Saltzman, Eric S; Stiévenard, Michel (1999): Climate and atmospheric history of the past 420,000 years from the Vostok ice core, Antarctica. Nature, 399(6735), 429-436, https://doi.org/10.1038/20859
Coverage:	LATITUDE: -78.464420 * LONGITUDE: 106.837320
	DATE/TIME START: 1980-01-01T00:00:00 * DATE/TIME END: 1980-01-01T00:00:00
	MINIMUM DEPTH, ice/snow: 0 m * MAXIMUM DEPTH, ice/snow: 3310 m
Event(s):	Vostok * LATITUDE: -78.464420 * LONGITUDE: 106.837320 * DATE/TIME: 1980-01-01T00:00:00 * ELEVATION: 3488.0 m * Recovery: 2755 m * LOCATION: Antarctica * CAMPAIGN: Ice_core_diverse * BASIS: Sampling/drilling ice * METHOD/DEVICE: Drilling/drill rig (DRILL) * COMMENT: annual pressure 624 mbar; mean annual temperature -55.5°C; snow accumulation between 2.2 and
	22.5 g/cm**2/yr, about 250 ka
Comment:	Deuterium data is from core 3G between 138 and 2083 meters below surface (mbs) (with one long missing section between 312 and 320 mbs), from core 4G between 8 and 138 mbs and between 1920 and 2546 mbs and from core 5G between 2504 and 2757 mbs. Ash layers help to make link between cores. No correction was applied for 3G and 4G core taken as reference depth. For 5G samples, a value of 3.41 m have been added to the depth measured in the field below depth of 2500 m. The temperature change is calculated using a deuterium/temperature gradient of 9‰/°C after accounting for the isotopic change of sea-water. No correction for the influence of the geographical position of the ice was applied.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	δ Deuterium [‰ SMOW] (δD) * PI: Jouzel, Jean (jean.jouzel@lsce.ipsl.fr) * COMMENT: Deuterium measurements have been performed on three adjacent cores 3G, 4G and 5G (see Figure 1 of Jouzel et al., 1996). It combines results successively published in Jouzel et al. (1987, 1993 and 1996). Deuterium values have been measured on ice samples of length comprised between 0.5 and 2 m (down to 2080 m) then every 1 m. Data was re-interpolated on 1m intervals afterwards. The ice recovery is 85% or higher. Measurement accuracy is of ± 0.5 per mil SMOW
	Temperature, difference [°C] (delta T) * PI: Petit, Jean Robert (jean-robert.petit@univ-grenoble-alpes.fr) * METHOD/DEVICE: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	6622 data points
*/
Depth ice/snow [m]	Age [ka BP]	δD [‰ SMOW]	delta T [°C]
1448	103.481	-462.5	-4.52
1449	103.553	-462.1	-4.46
1450	103.625	-461.8	-4.41
1451	103.697	-461.8	-4.41
1452	103.769	-462.3	-4.50
1453	103.841	-462.0	-4.45
1454	103.912	-461.1	-4.30
1455	103.984	-460.7	-4.24
1456	104.054	-460.2	-4.16
1457	104.125	-459.9	-4.11
1458	104.195	-459.5	-4.05
1459	104.266	-460.5	-4.22
1460	104.337	-461.6	-4.40
1461	104.409	-461.4	-4.37
1462	104.480	-461.1	-4.32
1463	104.552	-461.1	-4.33
1464	104.623	-461.1	-4.33
1465	104.695	-460.6	-4.25
1466	104.766	-460.1	-4.17
1467	104.837	-460.1	-4.17
1468	104.908	-462.2	-4.52
1469	104.982	-464.2	-4.85
1470	105.055	-463.0	-4.66
1471	105.128	-461.9	-4.48
1472	105.200	-460.7	-4.28
1473	105.271	-459.6	-4.10
1474	105.342	-460.2	-4.20
1475	105.413	-460.7	-4.29
1476	105.485	-462.0	-4.51
1477	105.559	-463.2	-4.71
1478	105.631	-460.9	-4.33
1479	105.702	-458.5	-3.93
1480	105.772	-458.5	-3.93
1481	105.842	-458.5	-3.92
1482	105.911	-457.9	-3.82
1483	105.980	-457.2	-3.71
1484	106.048	-454.2	-3.21
1485	106.114	-451.2	-2.71
1486	106.179	-455.2	-3.37
1487	106.248	-459.1	-4.02
1488	106.319	-460.5	-4.25
1489	106.391	-461.9	-4.48
1490	106.463	-460.6	-4.26
1491	106.535	-459.3	-4.04
1492	106.606	-461.0	-4.32
1493	106.678	-462.7	-4.60
1494	106.752	-464.1	-4.84
1495	106.828	-465.5	-5.07
1496	106.902	-463.5	-4.73
1497	106.976	-461.5	-4.40
1498	107.048	-461.5	-4.40
1499	107.121	-461.5	-4.40
1500	107.194	-464.4	-4.88
1501	107.270	-467.3	-5.36
1502	107.349	-470.7	-5.92
1503	107.431	-474.1	-6.48
1504	107.515	-474.1	-6.48
1505	107.599	-474.1	-6.48
1506	107.683	-474.1	-6.48
1507	107.767	-475.3	-6.67
1508	107.852	-476.4	-6.85
1509	107.938	-476.7	-6.90
1510	108.025	-477.0	-6.95
1511	108.111	-477.0	-6.95
1512	108.198	-476.3	-6.83
1513	108.283	-475.6	-6.71
1514	108.369	-475.6	-6.71
1515	108.454	-475.2	-6.64
1516	108.538	-474.8	-6.57
1517	108.622	-474.0	-6.43
1518	108.706	-473.1	-6.28
1519	108.789	-473.1	-6.28
1520	108.872	-473.1	-6.28
1521	108.954	-473.1	-6.27
1522	109.037	-473.1	-6.27
1523	109.121	-474.7	-6.53
1524	109.206	-476.4	-6.81
1525	109.292	-476.4	-6.81
1526	109.378	-474.2	-6.44
1527	109.461	-472.1	-6.09
1528	109.543	-472.1	-6.09
1529	109.625	-472.1	-6.09
1530	109.707	-472.8	-6.20
1531	109.790	-473.4	-6.30
1532	109.872	-470.9	-5.88
1533	109.952	-468.4	-5.47
1534	110.031	-468.8	-5.53
1535	110.110	-469.1	-5.58
1536	110.189	-469.1	-5.58
1537	110.269	-469.1	-5.58
1538	110.348	-469.1	-5.58
1539	110.427	-469.1	-5.57
1540	110.507	-469.1	-5.57
1541	110.586	-469.1	-5.57
1542	110.666	-469.1	-5.57
1543	110.746	-471.7	-6.00
1544	110.829	-474.2	-6.42
1545	110.913	-473.2	-6.25
1546	110.996	-472.2	-6.08
1547	111.078	-471.0	-5.88
1548	111.159	-469.8	-5.68
1549	111.239	-469.8	-5.68
1550	111.319	-469.8	-5.68
1551	111.399	-469.8	-5.68
1552	111.480	-469.8	-5.68
1553	111.560	-469.8	-5.68
1554	111.640	-469.8	-5.68
1555	111.721	-471.9	-6.02
1556	111.805	-474.0	-6.37
1557	111.889	-474.0	-6.37
1558	111.973	-472.7	-6.16
1559	112.055	-471.4	-5.94
1560	112.137	-471.4	-5.94
1561	112.219	-471.4	-5.94
1562	112.301	-471.4	-5.94
1563	112.383	-471.4	-5.94
1564	112.465	-471.4	-5.93
1565	112.547	-470.7	-5.82
1566	112.628	-470.0	-5.70
1567	112.708	-469.8	-5.67
1568	112.790	-471.0	-5.86
1569	112.872	-472.2	-6.06
1570	112.954	-471.4	-5.93
1571	113.036	-470.6	-5.80
1572	113.116	-468.2	-5.40
1573	113.195	-465.7	-4.98
1574	113.272	-465.7	-4.98
1575	113.348	-465.0	-4.86
1576	113.425	-464.9	-4.85
1577	113.501	-465.2	-4.89
1578	113.578	-465.5	-4.94
1579	113.656	-467.5	-5.27
1580	113.736	-469.6	-5.62
1581	113.815	-466.5	-5.10
1582	113.891	-463.3	-4.57
1583	113.966	-463.3	-4.57
1584	114.041	-462.6	-4.45
1585	114.115	-461.9	-4.33
1586	114.189	-462.1	-4.36
1587	114.264	-462.3	-4.39
1588	114.338	-461.8	-4.31
1589	114.411	-461.4	-4.24
1590	114.486	-463.5	-4.59
1591	114.562	-465.7	-4.95
1592	114.639	-464.7	-4.78
1593	114.715	-463.6	-4.60
1594	114.790	-462.0	-4.33
1595	114.863	-460.4	-4.06
1596	114.935	-458.5	-3.75
1597	115.006	-456.7	-3.45
1598	115.077	-459.4	-3.89
1599	115.150	-462.0	-4.32
1600	115.222	-456.5	-3.41
1601	115.289	-450.9	-2.48
1602	115.355	-450.9	-2.47
1603	115.420	-450.9	-2.47
1604	115.486	-450.9	-2.47
1605	115.551	-450.9	-2.47
1606	115.617	-450.9	-2.47
1607	115.683	-451.5	-2.56
1608	115.749	-452.0	-2.64
1609	115.816	-454.8	-3.11
1610	115.886	-457.6	-3.57
1611	115.956	-456.2	-3.34
1612	116.025	-454.7	-3.08
1613	116.093	-454.0	-2.97
1614	116.161	-453.4	-2.86
1615	116.228	-453.5	-2.88
1616	116.296	-453.2	-2.83
1617	116.363	-452.8	-2.76
1618	116.430	-452.5	-2.71
1619	116.497	-452.3	-2.67
1620	116.563	-452.3	-2.67
1621	116.630	-452.3	-2.67
1622	116.697	-451.5	-2.53
1623	116.762	-450.8	-2.41
1624	116.827	-449.0	-2.11
1625	116.891	-447.3	-1.83
1626	116.954	-446.1	-1.62
1627	117.016	-445.0	-1.44
1628	117.077	-445.0	-1.44
1629	117.139	-446.2	-1.63
1630	117.202	-447.4	-1.83
1631	117.264	-446.0	-1.59
1632	117.326	-444.6	-1.36
1633	117.388	-446.5	-1.67
1634	117.451	-448.5	-2.00
1635	117.514	-445.5	-1.50
1636	117.575	-442.4	-0.98
1637	117.635	-444.1	-1.26
1638	117.697	-445.8	-1.54
1639	117.759	-446.6	-1.67
1640	117.822	-447.7	-1.85
1641	117.886	-447.9	-1.88
1642	117.949	-447.3	-1.78
1643	118.012	-446.6	-1.66
1644	118.074	-444.5	-1.31
1645	118.135	-442.3	-0.94
1646	118.194	-442.3	-0.93
1647	118.254	-442.3	-0.93
1648	118.314	-443.9	-1.19
1649	118.376	-445.5	-1.46
1650	118.438	-445.5	-1.45
1651	118.499	-443.5	-1.12
1652	118.559	-441.6	-0.80
1653	118.618	-440.2	-0.57
1654	118.676	-438.7	-0.31
1655	118.735	-443.1	-1.04
1656	118.796	-447.5	-1.77
1657	118.859	-445.7	-1.47
1658	118.921	-443.9	-1.16
1659	118.981	-443.9	-1.16
1660	119.042	-442.0	-0.84
1661	119.101	-440.0	-0.51
1662	119.160	-442.7	-0.95
1663	119.221	-445.4	-1.40
1664	119.283	-445.4	-1.40
1665	119.345	-445.0	-1.33
1666	119.406	-444.7	-1.27
1667	119.467	-443.5	-1.07
1668	119.528	-443.6	-1.09
1669	119.589	-445.0	-1.31
1670	119.650	-443.1	-1.00
1671	119.710	-441.2	-0.68
1672	119.770	-443.6	-1.07
1673	119.831	-446.0	-1.47
1674	119.894	-446.0	-1.47
1675	119.955	-444.2	-1.16
1676	120.016	-442.4	-0.86
1677	120.076	-443.7	-1.08
1678	120.138	-445.0	-1.29
1679	120.199	-443.8	-1.09
1680	120.259	-442.5	-0.87
1681	120.319	-442.5	-0.86
1682	120.379	-442.5	-0.86
1683	120.439	-441.1	-0.63
1684	120.498	-439.8	-0.41
1685	120.555	-438.2	-0.14
1686	120.612	-436.6	0.13
1687	120.669	-437.3	0.02
1688	120.726	-438.0	-0.10
1689	120.783	-438.9	-0.24
1690	120.841	-440.4	-0.49
1691	120.900	-441.0	-0.59
1692	120.959	-441.0	-0.58
1693	121.018	-442.0	-0.75
1694	121.079	-443.1	-0.93
1695	121.139	-443.1	-0.92
1696	121.199	-440.4	-0.47
1697	121.256	-437.6	0.00
1698	121.314	-439.5	-0.32
1699	121.373	-441.5	-0.65
1700	121.432	-441.5	-0.64
1701	121.492	-441.4	-0.62
1702	121.551	-441.3	-0.60
1703	121.610	-441.3	-0.60
1704	121.669	-439.6	-0.32
1705	121.727	-437.9	-0.03
1706	121.784	-437.9	-0.03
1707	121.840	-436.1	0.28
1708	121.896	-434.3	0.58
1709	121.951	-434.3	0.59
1710	122.006	-437.2	0.11
1711	122.064	-440.1	-0.37
1712	122.122	-438.0	-0.01
1713	122.178	-436.0	0.32
1714	122.234	-435.5	0.41
1715	122.290	-435.0	0.50
1716	122.345	-436.1	0.32
1717	122.402	-437.3	0.13
1718	122.458	-437.3	0.13
1719	122.515	-436.5	0.27
1720	122.571	-435.8	0.39
1721	122.627	-437.1	0.18
1722	122.684	-438.5	-0.05
1723	122.742	-440.6	-0.39
1724	122.801	-442.8	-0.75
1725	122.861	-440.1	-0.30
1726	122.919	-438.9	-0.09
1727	122.977	-440.3	-0.32
1728	123.036	-440.9	-0.41
1729	123.095	-441.5	-0.51
1730	123.154	-439.9	-0.24
1731	123.211	-438.2	0.05
1732	123.268	-435.3	0.54
1733	123.322	-432.4	1.02
1734	123.377	-434.8	0.63
1735	123.432	-437.3	0.22
1736	123.489	-437.0	0.27
1737	123.545	-436.6	0.34
1738	123.602	-437.2	0.25
1739	123.658	-437.8	0.16
1740	123.715	-436.1	0.44
1741	123.770	-434.5	0.71
1742	123.825	-434.5	0.72
1743	123.880	-435.1	0.62
1744	123.936	-435.8	0.51
1745	123.991	-436.5	0.40
1746	124.046	-432.5	1.07
1747	124.100	-431.5	1.24
1748	124.154	-435.4	0.59
1749	124.209	-435.4	0.60
1750	124.265	-435.4	0.60
1751	124.320	-436.0	0.50
1752	124.376	-436.6	0.40
1753	124.432	-436.0	0.50
1754	124.488	-435.5	0.58
1755	124.544	-435.3	0.62
1756	124.599	-435.1	0.65
1757	124.654	-435.3	0.62
1758	124.710	-435.4	0.60
1759	124.765	-435.4	0.60
1760	124.821	-435.1	0.65
1761	124.877	-437.4	0.27
1762	124.935	-439.9	-0.14
1763	124.993	-438.8	0.04
1764	125.050	-437.6	0.24
1765	125.107	-436.2	0.47
1766	125.162	-434.9	0.69
1767	125.217	-433.3	0.95
1768	125.271	-431.7	1.22
1769	125.325	-433.5	0.92
1770	125.380	-435.4	0.61
1771	125.435	-434.1	0.82
1772	125.490	-432.9	1.02
1773	125.544	-432.6	1.07
1774	125.598	-432.4	1.11
1775	125.653	-434.5	0.76
1776	125.708	-436.5	0.43
1777	125.765	-436.4	0.45
1778	125.821	-435.9	0.53
1779	125.877	-435.4	0.61
1780	125.933	-435.8	0.55
1781	125.989	-436.3	0.47
1782	126.046	-436.8	0.38
1783	126.103	-437.4	0.28
1784	126.160	-438.1	0.17
1785	126.217	-435.9	0.53
1786	126.272	-432.9	1.03
1787	126.327	-433.1	1.00
1788	126.381	-433.3	0.97
1789	126.436	-433.5	0.93
1790	126.491	-433.7	0.90
1791	126.545	-431.5	1.26
1792	126.598	-429.3	1.61
1793	126.650	-427.3	1.93
1794	126.700	-423.8	2.50
1795	126.749	-422.3	2.74
1796	126.799	-426.3	2.07
1797	126.851	-430.2	1.41
1798	126.904	-428.2	1.73
1799	126.955	-426.1	2.07
1800	127.006	-426.1	2.06
1801	127.057	-426.1	2.05
1802	127.108	-426.1	2.04
1803	127.159	-425.5	2.13
1804	127.210	-424.9	2.22
1805	127.260	-424.2	2.33
1806	127.310	-423.5	2.44
1807	127.360	-423.4	2.44
1808	127.410	-423.2	2.46
1809	127.460	-423.7	2.37
1810	127.510	-424.1	2.29
1811	127.560	-423.3	2.40
1812	127.610	-422.5	2.52
1813	127.660	-423.3	2.37
1814	127.710	-424.1	2.22
1815	127.760	-422.7	2.43
1816	127.810	-421.7	2.58
1817	127.860	-422.1	2.49
1818	127.910	-424.0	2.16
1819	127.961	-424.5	2.06
1820	128.012	-423.2	2.26
1821	128.062	-421.7	2.49
1822	128.112	-420.2	2.72
1823	128.161	-420.2	2.70
1824	128.210	-420.2	2.68
1825	128.259	-421.2	2.50
1826	128.309	-419.4	2.78
1827	128.357	-416.6	3.23
1828	128.405	-416.9	3.16
1829	128.453	-417.2	3.08
1830	128.501	-417.2	3.06
1831	128.549	-419.1	2.71
1832	128.599	-421.0	2.37
1833	128.650	-422.4	2.11
1834	128.702	-423.7	1.87
1835	128.753	-421.8	2.16
1836	128.804	-419.9	2.45
1837	128.854	-421.2	2.20
1838	128.906	-422.5	1.96
1839	128.958	-423.9	1.70
1840	129.011	-425.3	1.44
1841	129.065	-425.3	1.42
1842	129.119	-425.3	1.39
1843	129.172	-422.5	1.83
1844	129.224	-419.8	2.25
1845	129.274	-418.0	2.52
1846	129.324	-416.3	2.78
1847	129.374	-419.6	2.20
1848	129.428	-428.7	0.67
1849	129.486	-434.5	-0.31
1850	129.545	-429.1	0.56
1851	129.600	-423.8	1.42
1852	129.653	-421.5	1.78
1853	129.705	-419.1	2.16
1854	129.757	-420.2	1.95
1855	129.809	-421.4	1.73
1856	129.863	-422.1	1.60
1857	129.916	-423.7	1.31
1858	129.971	-424.6	1.14
1859	130.026	-422.5	1.47
1860	130.079	-420.3	1.81
1861	130.131	-420.3	1.79
1862	130.185	-423.5	1.24
1863	130.241	-426.7	0.68
1864	130.297	-425.4	0.88
1865	130.353	-425.5	0.84
1866	130.410	-426.9	0.59
1867	130.467	-427.0	0.57
1868	130.525	-427.2	0.53
1869	130.582	-428.0	0.40
1870	130.641	-428.9	0.24
1871	130.699	-429.5	0.14
1872	130.759	-431.1	-0.13
1873	130.819	-432.2	-0.31
1874	130.880	-432.9	-0.43
1875	130.942	-433.5	-0.54
1876	131.004	-433.6	-0.56
1877	131.066	-433.7	-0.58
1878	131.128	-435.0	-0.79
1879	131.190	-432.7	-0.42
1880	131.250	-429.2	0.16
1881	131.311	-433.1	-0.49
1882	131.374	-437.0	-1.14
1883	131.439	-439.4	-1.54
1884	131.506	-441.8	-1.94
1885	131.574	-440.5	-1.73
1886	131.641	-439.2	-1.51
1887	131.707	-439.0	-1.48
1888	131.773	-438.8	-1.45
1889	131.840	-441.3	-1.87
1890	131.908	-443.8	-2.28
1891	131.978	-443.5	-2.23
1892	132.048	-445.0	-2.48
1893	132.120	-446.8	-2.78
1894	132.192	-446.8	-2.78
1895	132.264	-445.7	-2.60
1896	132.335	-444.6	-2.42
1897	132.406	-444.7	-2.44
1898	132.477	-445.2	-2.52
1899	132.548	-445.5	-2.57
1900	132.619	-445.5	-2.58
1901	132.691	-445.5	-2.58
1902	132.763	-446.6	-2.76
1903	132.836	-449.0	-3.16
1904	132.911	-450.2	-3.36
1905	132.987	-451.7	-3.61
1906	133.065	-453.1	-3.84
1907	133.142	-452.2	-3.69
1908	133.219	-451.3	-3.54
1909	133.296	-452.5	-3.73
1910	133.374	-453.7	-3.93
1911	133.452	-451.6	-3.58
1912	133.528	-449.5	-3.23
1913	133.603	-449.5	-3.23
1914	133.679	-453.0	-3.81
1915	133.759	-456.6	-4.41
1916	133.841	-456.9	-4.46
1917	133.923	-457.0	-4.47
1918	134.005	-459.5	-4.89
1919	134.091	-461.9	-5.28
1920	134.178	-462.6	-5.40
1921	134.266	-464.7	-5.74
1922	134.356	-465.8	-5.93
1923	134.447	-466.8	-6.09
1924	134.538	-464.8	-5.76
1925	134.628	-464.7	-5.74
1926	134.719	-468.6	-6.39
1927	134.815	-472.1	-6.97
1928	134.912	-471.7	-6.90
1929	135.009	-471.6	-6.88
1930	135.107	-473.4	-7.18
1931	135.207	-473.9	-7.26
1932	135.308	-475.2	-7.48
1933	135.408	-474.1	-7.30
1934	135.507	-471.3	-6.83
1935	135.604	-471.8	-6.91
1936	135.702	-473.1	-7.13
1937	135.802	-474.3	-7.33
1938	135.903	-474.2	-7.31
1939	136.003	-473.2	-7.14
1940	136.103	-475.4	-7.51
1941	136.206	-477.2	-7.81
1942	136.309	-475.0	-7.44
1943	136.411	-474.7	-7.39
1944	136.512	-475.6	-7.54
1945	136.614	-474.1	-7.29
1946	136.715	-475.4	-7.51
1947	136.819	-478.0	-7.94
1948	136.923	-476.1	-7.62
1949	137.026	-475.4	-7.50
1950	137.130	-477.3	-7.82
1951	137.235	-478.0	-7.93
1952	137.341	-478.3	-7.98
1953	137.446	-476.7	-7.72
1954	137.549	-475.1	-7.45
1955	137.651	-475.2	-7.47
1956	137.754	-475.7	-7.55
1957	137.858	-477.7	-7.88
1958	137.966	-481.5	-8.51
1959	138.078	-483.8	-8.89
1960	138.193	-485.9	-9.24
1961	138.308	-484.1	-8.94
1962	138.420	-482.0	-8.59
1963	138.532	-482.8	-8.72
1964	138.644	-482.5	-8.67
1965	138.756	-482.5	-8.67
1966	138.868	-482.0	-8.59
1967	138.978	-480.3	-8.30
1968	139.087	-480.3	-8.30
1969	139.197	-481.7	-8.53
1970	139.308	-480.9	-8.40
1971	139.418	-480.9	-8.40
1972	139.530	-482.7	-8.70
1973	139.643	-483.7	-8.86
1974	139.756	-482.5	-8.66
1975	139.868	-481.1	-8.43
1976	139.979	-482.4	-8.64
1977	140.093	-484.5	-8.99
1978	140.207	-483.5	-8.82
1979	140.319	-480.6	-8.34
1980	140.430	-481.2	-8.44
1981	140.542	-482.6	-8.67
1982	140.655	-482.2	-8.60
1983	140.766	-480.9	-8.38
1984	140.876	-479.3	-8.11
1985	140.986	-482.2	-8.59
1986	141.100	-483.2	-8.75
1987	141.212	-481.0	-8.38
1988	141.323	-480.6	-8.31
1989	141.434	-482.0	-8.54
1990	141.547	-483.0	-8.70
1991	141.661	-482.3	-8.58
1992	141.773	-481.9	-8.51
1993	141.885	-481.2	-8.39
1994	141.997	-482.1	-8.54
1995	142.108	-480.1	-8.21
1996	142.218	-479.6	-8.12
1997	142.329	-481.1	-8.36
1998	142.440	-480.4	-8.25
1999	142.551	-481.9	-8.49
2000	142.665	-483.4	-8.73
2001	142.779	-483.1	-8.68
2002	142.893	-482.5	-8.58
2003	143.006	-481.5	-8.41
2004	143.117	-479.6	-8.09
2005	143.227	-480.1	-8.17
2006	143.338	-481.0	-8.31
2007	143.450	-481.2	-8.34
2008	143.562	-481.2	-8.34
2009	143.675	-483.1	-8.65
2010	143.790	-484.5	-8.87
2011	143.905	-481.4	-8.36
2012	144.016	-479.0	-7.95
2013	144.126	-480.4	-8.18
2014	144.237	-480.1	-8.13
2015	144.346	-477.6	-7.71
2016	144.453	-478.1	-7.79
2017	144.562	-478.5	-7.85
2018	144.671	-479.0	-7.93
2019	144.782	-480.7	-8.21
2020	144.894	-481.4	-8.32
2021	145.006	-480.6	-8.19
2022	145.116	-478.9	-7.90
2023	145.226	-479.5	-8.00
2024	145.337	-480.3	-8.13
2025	145.449	-481.4	-8.31
2026	145.563	-483.3	-8.62
2027	145.678	-482.5	-8.49
2028	145.792	-481.6	-8.34
2029	145.905	-482.3	-8.45
2030	146.019	-481.5	-8.31
2031	146.131	-479.6	-8.00
2032	146.242	-479.6	-7.99
2033	146.352	-478.8	-7.86
2034	146.461	-477.9	-7.71
2035	146.570	-478.6	-7.82
2036	146.681	-479.6	-7.98
2037	146.792	-479.8	-8.02
2038	146.903	-479.7	-8.00
2039	147.014	-479.0	-7.88
2040	147.124	-479.4	-7.95
2041	147.236	-479.8	-8.02
2042	147.347	-479.8	-8.02
2043	147.459	-480.6	-8.15
2044	147.572	-480.0	-8.05
2045	147.684	-479.5	-7.97
2046	147.796	-481.2	-8.25
2047	147.910	-481.6	-8.32
2048	148.025	-482.5	-8.47
2049	148.141	-482.4	-8.45
2050	148.253	-477.7	-7.67
2051	148.362	-476.8	-7.52
2052	148.471	-477.9	-7.70
2053	148.581	-477.5	-7.64
2054	148.691	-478.7	-7.84
2055	148.802	-478.7	-7.84
2056	148.913	-478.0	-7.72
2057	149.022	-477.4	-7.62
2058	149.132	-476.9	-7.54
2059	149.241	-477.7	-7.67
2060	149.351	-476.8	-7.52
2061	149.460	-476.4	-7.46
2062	149.569	-477.6	-7.66
2063	149.679	-477.5	-7.64
2064	149.789	-477.3	-7.61
2065	149.899	-477.1	-7.57
2066	150.008	-475.7	-7.34
2067	150.116	-475.6	-7.33
2068	150.224	-476.9	-7.54
2069	150.333	-475.7	-7.34
2070	150.440	-473.2	-6.93
2071	150.545	-473.4	-6.96
2072	150.653	-476.2	-7.43
2073	150.762	-476.1	-7.41
2074	150.868	-472.1	-6.75
2075	150.972	-471.3	-6.61
2076	151.076	-472.8	-6.86
2077	151.181	-473.1	-6.91
2078	151.287	-473.1	-6.91
2079	151.393	-475.0	-7.22
2080	151.502	-476.2	-7.42
2081	151.611	-476.0	-7.38
2082	151.721	-476.1	-7.40
2083	151.832	-478.7	-7.82
2084	151.945	-479.1	-7.89
2085	152.058	-479.1	-7.89
2086	152.171	-477.9	-7.69
2087	152.283	-478.4	-7.77
2088	152.398	-480.7	-8.15
2089	152.513	-480.3	-8.08
2090	152.628	-479.0	-7.86
2091	152.740	-477.7	-7.64
2092	152.852	-476.8	-7.49
2093	152.963	-477.9	-7.67
2094	153.076	-477.7	-7.64
2095	153.188	-478.5	-7.78
2096	153.301	-477.9	-7.68
2097	153.412	-475.2	-7.23
2098	153.523	-477.5	-7.61
2099	153.637	-480.2	-8.06
2100	153.753	-480.4	-8.10
2101	153.868	-478.2	-7.74
2102	153.981	-477.5	-7.62
2103	154.094	-478.1	-7.72
2104	154.207	-477.6	-7.64
2105	154.322	-480.6	-8.14
2106	154.438	-478.9	-7.86
2107	154.551	-475.9	-7.37
2108	154.664	-478.8	-7.85
2109	154.783	-485.7	-9.00
2110	154.907	-484.5	-8.80
2111	155.029	-482.9	-8.53
2112	155.151	-484.7	-8.84
2113	155.271	-480.0	-8.06
2114	155.388	-480.1	-8.08
2115	155.506	-480.9	-8.21
2116	155.625	-482.0	-8.40
2117	155.743	-478.9	-7.89
2118	155.861	-481.8	-8.37
2119	155.983	-484.8	-8.87
2120	156.105	-481.2	-8.28
2121	156.225	-482.5	-8.50
2122	156.349	-486.0	-9.08
2123	156.473	-482.7	-8.54
2124	156.593	-480.5	-8.17
2125	156.714	-482.6	-8.52
2126	156.835	-482.4	-8.49
2127	156.957	-482.7	-8.55
2128	157.080	-482.9	-8.58
2129	157.202	-482.4	-8.50
2130	157.324	-482.9	-8.59
2131	157.444	-478.4	-7.84
2132	157.560	-477.5	-7.69
2133	157.677	-478.8	-7.91
2134	157.793	-477.4	-7.67
2135	157.909	-477.9	-7.75
2136	158.026	-479.0	-7.93
2137	158.140	-473.2	-6.97
2138	158.250	-473.0	-6.93
2139	158.359	-471.2	-6.63
2140	158.469	-474.2	-7.13
2141	158.584	-479.8	-8.05
2142	158.702	-477.2	-7.62
2143	158.815	-473.9	-7.07
2144	158.925	-471.2	-6.62
2145	159.033	-471.8	-6.72
2146	159.139	-466.8	-5.89
2147	159.240	-463.1	-5.27
2148	159.340	-465.3	-5.63
2149	159.444	-471.0	-6.58
2150	159.548	-463.7	-5.36
2151	159.651	-469.2	-6.27
2152	159.757	-469.8	-6.37
2153	159.865	-470.9	-6.54
2154	159.971	-467.3	-5.94
2155	160.076	-469.2	-6.25
2156	160.184	-472.3	-6.76
2157	160.293	-471.8	-6.67
2158	160.403	-472.5	-6.78
2159	160.514	-472.6	-6.79
2160	160.626	-476.3	-7.40
2161	160.740	-473.0	-6.85
2162	160.851	-474.4	-7.07
2163	160.963	-472.7	-6.79
2164	161.077	-476.9	-7.48
2165	161.192	-476.1	-7.34
2166	161.308	-477.2	-7.52
2167	161.427	-480.0	-7.97
2168	161.545	-476.6	-7.41
2169	161.661	-476.5	-7.38
2170	161.776	-474.4	-7.03
2171	161.890	-475.7	-7.25
2172	162.005	-475.3	-7.18
2173	162.117	-471.8	-6.60
2174	162.227	-471.8	-6.60
2175	162.336	-469.5	-6.22
2176	162.440	-464.9	-5.46
2177	162.543	-465.7	-5.59
2178	162.649	-471.8	-6.60
2179	162.759	-470.7	-6.42
2180	162.867	-469.0	-6.14
2181	162.976	-471.3	-6.52
2182	163.089	-475.7	-7.25
2183	163.204	-474.4	-7.03
2184	163.318	-474.5	-7.05
2185	163.432	-474.2	-7.00
2186	163.546	-473.1	-6.81
2187	163.660	-475.6	-7.23
2188	163.777	-476.6	-7.39
2189	163.896	-478.2	-7.66
2190	164.016	-478.8	-7.76
2191	164.136	-477.7	-7.58
2192	164.258	-481.8	-8.26
